"age","locfit","cu95","cl95","nentities","window","ninwin"
5835,0.649932906081383,1.06743144675675,0.22043534083809,121,200,226
5885,0.722567765416288,1.17305149336258,0.338533505551221,122,200,228
5935,0.726572628616105,1.18438603197343,0.375231041509275,130,200,221
5985,0.659063192416104,1.07231371129926,0.32412788815417,117,200,227
6035,0.610021730752092,0.976577191967675,0.28026357315638,122,200,220
6085,0.621122392722639,1.01539194349446,0.27508028286685,119,200,223
6135,0.676614914847685,1.23043396608857,0.298796074557074,123,200,222
6185,0.683686964208396,1.23776384298812,0.254006077228069,119,200,228
6235,0.588939245330136,1.16475527025273,0.182144195503981,127,200,223
6285,0.518624570650169,1.06050228069006,0.133537427921749,123,200,215
6335,0.542545432207254,1.08277952955088,0.202966060111963,125,200,223
6385,0.541965784910917,1.07953181299718,0.168406737533067,110,200,225
6435,0.58196958294219,1.06895284527705,0.186481027827154,129,200,223
6485,0.661175478931824,1.11187355315628,0.253271898936406,126,200,226
6535,0.661803264350795,1.11003096009559,0.283915312227795,114,200,216
6585,0.647349700897208,1.07834995466221,0.263584275816525,123,200,206
6635,0.736023184595099,1.15103582704685,0.334680724483141,115,200,221
6685,0.697262381391566,1.040200926313,0.318183254070478,114,200,221
6735,0.567805294404194,0.929172015918312,0.186947053424349,141,200,218
6785,0.610331599462676,1.00351017410984,0.257879326440479,106,200,219
6835,0.627269883090604,0.947226883453566,0.317176868264621,109,200,217
6885,0.597215903995714,0.890059759926232,0.266932552817154,128,200,226
6935,0.564843961055994,0.845886256529775,0.261921276775923,118,200,238
6985,0.565660693352912,0.889170646862934,0.264097152258335,124,200,230
7035,0.579625742393478,0.927029121333484,0.260822962800183,130,200,224
7085,0.583976922625151,0.965417898698802,0.259570273641281,116,200,217
7135,0.619732902844332,1.0144021461642,0.243690080580293,112,200,220
7185,0.623270554203992,1.02202214578379,0.253483732855679,124,200,220
7235,0.631535498380471,1.00830440200484,0.233511768089216,134,200,227
7285,0.673827059216526,1.07169381194141,0.281210003076692,116,200,217
7335,0.675446890643999,1.01502746658719,0.315131017795953,123,200,221
7385,0.627449981998778,0.912096072564551,0.279695391031018,124,200,218
7435,0.580811110711437,0.886256740278624,0.204355645744856,132,200,220
7485,0.553844224749547,0.917194417854383,0.177312033680735,110,200,230
7535,0.542783376854605,0.870748581165401,0.184611274285634,127,200,234
7585,0.554054877837561,0.85539936545242,0.217059648090852,132,200,245
7635,0.562849972188663,0.870623643541159,0.164938294511756,132,200,247
7685,0.589411988023692,0.907502881498088,0.245630867718131,130,200,235
7735,0.601449830114896,0.875870005513686,0.269613525206117,124,200,225
7785,0.544660996640943,0.797263032296811,0.244938322309496,122,200,221
7835,0.440346276986704,0.69391444828703,0.127406054015611,125,200,223
7885,0.35892119349009,0.625035480204963,0.0510303951871373,128,200,222
7935,0.325963453529226,0.609066677579051,0.02035912047301,126,200,225
7985,0.350768239315799,0.645998606748919,0.0575801809194123,116,200,235
8035,0.393657323167398,0.66116023477303,0.0765237484209517,130,200,234
8085,0.456196293641658,0.727733633555164,0.161658013919368,129,200,241
8135,0.5567010335531,0.831876517389376,0.303133221911348,134,200,242
8185,0.620274762682852,0.915903543711781,0.302395869336537,125,200,233
8235,0.561313706070513,0.852324021718342,0.280296947271308,127,200,229
8285,0.471846471987337,0.793098832640278,0.190470646055148,119,200,218
8335,0.466078031497473,0.793137536873954,0.187152936362229,122,200,221
8385,0.509744257555855,0.843853175404279,0.248394889663987,113,200,222
8435,0.494084369736969,0.760759072936024,0.219165761100206,133,200,222
8485,0.53182582629097,0.792230794673275,0.23335438402693,121,200,230
8535,0.528128368213579,0.804166128571928,0.237555414761886,123,200,246
8585,0.48484500269703,0.774218176191903,0.157805538804581,126,200,233
8635,0.547489365913,0.873195022102601,0.193563755708357,135,200,241
8685,0.560159131556313,0.870961031159735,0.215344605417999,110,200,232
8735,0.523783110084907,0.822183647434513,0.252766595527063,138,200,229
8785,0.520312990194353,0.790666169251016,0.262707837609888,118,200,231
8835,0.470538833757603,0.729064866213423,0.18565948487785,126,200,227
8885,0.427370255734157,0.740970713053697,0.169689746109136,113,200,224
8935,0.426636214925068,0.753583747762023,0.181976811887077,123,200,236
8985,0.389077543209343,0.683474477888413,0.139744457723061,119,200,238
9035,0.3647161746342,0.677941887825969,0.124270341790129,130,200,241
9085,0.366278119888118,0.699717567100224,0.131805342926693,126,200,236
9135,0.367907404587403,0.641643357498625,0.116180411187378,118,200,227
9185,0.394175604029823,0.641700637256196,0.181961034916961,127,200,231
9235,0.433615877518017,0.671260836389829,0.197773216044093,114,200,236
9285,0.456321385316567,0.701686188809967,0.180973025822271,128,200,230
9335,0.51909595830214,0.758782007117975,0.260505431183963,131,200,233
9385,0.523760168874249,0.762902601243958,0.250332756053602,121,200,234
9435,0.489145306448564,0.730136802847608,0.247747258756882,124,200,234
9485,0.45021273573935,0.709335522151384,0.206887900244317,133,200,245
9535,0.365259809458238,0.624786645156246,0.110724279404067,117,200,240
9585,0.353539384770329,0.659190356772683,0.105871462428025,129,200,239
9635,0.370798591267654,0.651024395178359,0.104228206748183,117,200,233
9685,0.32346536738987,0.590375785645858,0.0696076405093495,111,200,227
9735,0.276366169448602,0.547579154071818,0.057541930562185,127,200,217
9785,0.254165254219621,0.53560998283078,0.0278424521481854,117,200,224
9835,0.241804567831029,0.485433663903112,0.029586069161582,108,200,242
9885,0.3352454780784,0.563778975981961,0.100787676338803,132,200,243
9935,0.41771198652954,0.636067493283342,0.185003445933234,137,200,236
9985,0.374662814742962,0.574348999896554,0.131459928032693,118,200,237
10035,0.310515573589833,0.518306510278706,0.112670513154536,122,200,229
10085,0.312021811246889,0.4947505468821,0.126868446891833,127,200,231
10135,0.323556474689389,0.475935181594175,0.164808139805887,108,200,238
10185,0.283224204301451,0.438401211837114,0.133869765825284,137,200,238
